,diffs,SICs
1,2188.711854,1
2,50.5880218,2
3,-78.8368421,3
4,492.2534401,5
5,7524.669496,06...07
6,-334.191694,8
7,2225.985035,9
8,-3683.497213,10.1
9,950.635684,10.2.3
10,500.8625086,10.4
11,-2288.180863,10.5
12,57.05277,10.6
13,-863.621969,10.7
14,539.911377,10.8
15,341.280619,10.9
16,547.215281,11.01.6
17,-1624.765699,11.07
18,-405.0657439,12
19,561.281614,13
20,-996.234048,14
21,107.6164889,15
22,2773.162434,16
23,3646.46196,17
24,1683.231473,18
25,3115.397885,19
26,-567.136357,20A
27,-349.962271,20B
28,-294.2863971,20C
29,1228.375779,20.3
30,-1236.244435,20.4
31,-1326.077226,20.5
32,-4356.633529,21
33,6074.661998,22
34,2099.682381,23OTHER
35,2682.591723,23.5.6
36,1080.341194,24.1.3
37,874.333746,24.4.5
38,8656.072347,25OTHER
39,-371.764987,25.4
40,-2614.034963,26
41,1244.368041,27
42,-5656.622629,28
43,-11704.16749,29
44,-1111.597601,30.1
45,-5021.458087,30.3
46,-1155.7387,30OTHER
47,-2013.161831,31
48,-550.424172,32
49,503.5625691,33.15
50,1411.549501,33.16
51,5827.883053,33OTHER
52,2071.59663,35.1
53,-2619.79105,35.2.3
54,-492.206897,36
55,-177.179468,37
56,-2169.18071,38
57,-77.6722973,39
58,-14571.8072,41.43
