SIC,Total intermediate consumption,Total intermediate demand
1,9887.288146,12076
2,433.4119782,484
3,386.8368421,308
5,391.7465599,884
06 & 07,9011.330504,16536
8,1135.191694,801
9,1473.014965,3699
10.1,8544.497213,4861
10.2-3,4009.364316,4960
10.4,496.1374914,997
10.5,5036.180863,2748
10.6,3320.94723,3378
10.7,4024.621969,3161
10.8,6295.088623,6835
10.9,2207.719381,2549
11.01-6,3826.784719,4374
11.07,2565.765699,941
12,409.0657439,4
13,1450.718386,2012
14,1039.234048,43
15,397.3835111,505
16,2507.837566,5281
17,4272.53804,7919
18,3183.768527,4867
19,5756.602115,8872
20.3,1331.136357,764
20.4,5698.962271,5349
20.5,737.2863971,443
20A,1026.624221,2255
20B,3137.244435,1901
20C,1579.077226,253
21,5772.633529,1416
22,5707.338002,11782
23.5-6,2691.317619,4791
23OTHER,3384.408277,6067
24.1-3,4095.658806,5176
24.4-5,1985.666254,2860
25.4,8737.927653,17394
25OTHER,1621.764987,1250
26,8712.034963,6098
27,4191.631959,5436
28,8505.622629,2849
29,19151.16749,7447
30.1,1244.597601,133
30.3,5576.458087,555
30OTHER,1305.7387,150
31,3381.161831,1368
32,3558.424172,3008
33.15,298.4374309,802
33.16,1855.450499,3267
33OTHER,5015.116947,10843
35.1,35740.40337,37812
35.2-3,19027.79105,16408
36,1723.206897,1231
37,1935.179468,1758
38,5544.18071,3375
39,129.6722973,52
"41, 42 & 43",101398.8072,86827
45,14668.56792,23580
46,52224.38733,31498
47,43800.53327,0
49.1-2,5618.478223,447
49.3-5,16611.3263,25814
50,7421.733275,2846
51,5948.991117,263
52,18089.3721,30284
53,5299.376572,13750
55,8302.3135,275
56,24402.08293,2134
58,6002.148863,3785
59 & 60,7443.265271,1770
61,12027.80529,17966
62,18416.97477,34828
63,2251.429443,5724
64,43538.53171,50574
65.1-2 & 65.3,26819.39785,12122
66,10785.14022,9262
68.1-2,29615.4248,16828
68.3,2866.126206,194
69.1,7196.162669,16276
69.2,2872.753001,12311
70,12924.22211,30499
71,16566.24054,25576
72,4270.675664,2632
73,11431.87032,19728
74,5713.596324,5337
75,688.9709302,304
77,7914.683626,17227
78,10430.70655,23738
79,6251.370013,12855
80,1737.577705,4325
81,5368.900373,10119
82,10627.89569,10855
84,6564,13299
85,4479.496992,10182
86,3393.889547,792
87 & 88,11908.63268,6270
90,2197.660108,138
91,1741.272235,992
92,2554.578408,1904
93,3566.621114,408
94,671.7922464,3649
95,1390.292592,558
96,4242.526109,2592
